10:28:25  [main] 	Initializing Control Panel
10:28:25  [main] 	Windows Version:  Enterprise  64-bit
10:28:25  [main] 	XAMPP Version: 7.4.9
10:28:25  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
10:28:25  [main] 	You are not running with administrator rights! This will work for
10:28:25  [main] 	most application stuff but whenever you do something with services
10:28:25  [main] 	there will be a security dialogue or things will break! So think 
10:28:25  [main] 	about running this application with administrator rights!
10:28:25  [main] 	XAMPP Installation Directory: "d:\xampp\"
10:28:25  [main] 	Checking for prerequisites
10:28:27  [main] 	All prerequisites found
10:28:27  [main] 	Initializing Modules
10:28:27  [main] 	Starting Check-Timer
10:28:27  [main] 	Control Panel Ready
10:28:29  [Apache] 	Attempting to start Apache app...
10:28:29  [Apache] 	Status change detected: running
10:28:29  [mysql] 	Attempting to start MySQL app...
10:28:29  [mysql] 	Status change detected: running
11:28:00  [main] 	Deinitializing Modules
11:28:00  [main] 	Deinitializing Control Panel

